"Step","Fcrimnet_20datasetBaseline - test/micro_auc","Fcrimnet_20datasetBaseline - test/micro_auc__MIN","Fcrimnet_20datasetBaseline - test/micro_auc__MAX","Fcrimnet_FulldatasetBaseline - test/micro_auc","Fcrimnet_FulldatasetBaseline - test/micro_auc__MIN","Fcrimnet_FulldatasetBaseline - test/micro_auc__MAX"
"1","0.8132912156924887","0.8132912156924887","0.8132912156924887","0.8498206203196672","0.8498206203196672","0.8498206203196672"
"2","0.8316718503676093","0.8316718503676093","0.8316718503676093","0.8567768975042261","0.8567768975042261","0.8567768975042261"
"3","0.8432487981365162","0.8432487981365162","0.8432487981365162","0.8538549885724966","0.8538549885724966","0.8538549885724966"
"4","0.844871666469134","0.844871666469134","0.844871666469134","0.8586069624486117","0.8586069624486117","0.8586069624486117"
"5","0.848905071286021","0.848905071286021","0.848905071286021","0.8596145856013148","0.8596145856013148","0.8596145856013148"
"6","0.8500313337358757","0.8500313337358757","0.8500313337358757","0.8606965796988275","0.8606965796988275","0.8606965796988275"
"7","0.8551566322224915","0.8551566322224915","0.8551566322224915","0.8613612265415134","0.8613612265415134","0.8613612265415134"
"8","0.8534943410415431","0.8534943410415431","0.8534943410415431","0.8616276073844514","0.8616276073844514","0.8616276073844514"
"9","0.8533300194246667","0.8533300194246667","0.8533300194246667","0.8608919512510443","0.8608919512510443","0.8608919512510443"
"10","0.8548586466586152","0.8548586466586152","0.8548586466586152","0.8582382376434189","0.8582382376434189","0.8582382376434189"
"11","0.849095741606856","0.849095741606856","0.849095741606856","0.8596814461459114","0.8596814461459114","0.8596814461459114"
"12","0.8498996305946616","0.8498996305946616","0.8498996305946616","0.8609460512705482","0.8609460512705482","0.8609460512705482"
"13","0.8506055553409989","0.8506055553409989","0.8506055553409989","0.8586599417180727","0.8586599417180727","0.8586599417180727"
"14","0.8460123849967189","0.8460123849967189","0.8460123849967189","0.8556737375869161","0.8556737375869161","0.8556737375869161"
"15","0.8548323159103499","0.8548323159103499","0.8548323159103499","0.859018113936882","0.859018113936882","0.859018113936882"
"16","0.8545957054174668","0.8545957054174668","0.8545957054174668","0.8600598169705537","0.8600598169705537","0.8600598169705537"
"17","0.8535624158895662","0.8535624158895662","0.8535624158895662","0.8570868654572754","0.8570868654572754","0.8570868654572754"
"18","0.8557312042150875","0.8557312042150875","0.8557312042150875","0.8581304628072726","0.8581304628072726","0.8581304628072726"
"19","0.8570872780812173","0.8570872780812173","0.8570872780812173","0.8566991547385066","0.8566991547385066","0.8566991547385066"
"20","0.8573634880488354","0.8573634880488354","0.8573634880488354","0.8579424439158692","0.8579424439158692","0.8579424439158692"
