tweet,category
Police: Gun fires a shot after 6-year-old brings gun to school in Wilcox County; parents arrested.,Assault
Detectives were near New York Ave and Park Pl when they observed two males exchanging gun fire . One subject was arrested after attempting to flee and a loaded 9mm Ruger was recovered. The 2nd subject is still being sought,Assault
The recent incident where a machete wielding gang members werre arrested after exchanging gun fire with police in Kadoma tells a lot. These gangsters must never be underestimated & can cause untold instability in the nation of #Zimbabwe . No more kid gloves! @tinomabwe @xandatoto,Assault
Gunfire in a neighborhood near Wichita Heights High School -- news at 2:00.,Assault
26 year old Gaza fisherman moderately injured by gunfire after Egyptian boats opened fire on fishermen at sea,Assault
"#BREAKING : Sounds of gunfire and explosion in the vicinity of Technical Fence, Zikkim, northern #Gaza #Israel : explosion in Zikim Reports out, Palestinians broke out of the Gaza strip",Assault
Three individuals have been arrested after people in two cars exchanged gunfire in Shelby County and caused an accident while trying to escape from deputies Monday afternoon in southeast Memphis,Assault
Las Vegas mall shooting: 2 wounded by gunfire at shopping complex on Strip,Assault
"Girl, 9, injured by gunfire on Texas highway",Assault
"State trooper, suspect exchange gunfire during traffic stop in east Georgia",Assault
"Gunfire Erupts In Target Parking Lot In Philadelphia Killing A Man, Critically Injuring 2 Others",Assault
"According to court documents, the man was tasered after a struggle with officers, but recovered and fled on foot, pursued by the trooper. The man then pulled out a gun and fired two shots at the trooper, who did not return fire , authorities said.",Assault
"There is no way the 15-year-old who allegedly pulled the trigger...was a legal & licenced gun owner. Yet...the man in charge of fixing this problem was showing he doesn’t have a clue."" LILLEY: Boy dies in Toronto shooting...Trudeau Liberals fire blanks",Assault
"PHOTO: Several killed as Boko Haram, ISWAP members turn guns against each other Intense gunfire between two rival jihadist groups in northeast Nigeria has left several fighters dead, two sources with close knowledge of the incident told AFP on Monday. @Gidi_Traffic",Assault
"Awantipora, Pulwama encounter: The gunfight between Indian government forces and Kashmiri militants has resumed after over 15 hours. Fierce exchange of gunfire underway. (local observer). #Kashmir",Assault
"A gunman who opened fire outside of a Kansas City nightclub, killing a woman and injuring at least 15 other people before a guard killed him, had a past weapons charge dropped after lawmakers loosened the state's gun laws.​",Assault
"This gunfire audio is 200' from our home. Homes have been Identified. A historic area called ""Beckley Club"" just south of Dallas. Police will not help. Neighbors are scared to speak up. Turn up the volume. AR 15 and then a AR 10 NYE 30 rounds fired last night",Assault
"Pirates off the coast of Nigeria have abducted three crew members from a dredger after a deadly exchange of gunfire with the ship’s embarked security team leading to the killing ----- Pirates kidnap 3 seafarers, kill 4 naval ratings on dredger off Nigeria",Assault
"A South Georgia fire chief faces three charges after being accused of pointing a gun during a trespassing incident, authorities said.",Assault
"Ohio Sheriff Hit by Bullet From New Year's Celebratory Gunfire | Officer | Dangerous, has killed innocents. It violates statute, common sense, and the #FourRules of gun safety.",Assault
Man accused of killing girlfriend by ‘popping off’ gunfire on New Year’s Day now charged with reckless homicide,Assault
Gunfire incident from a bypass vehicle towards a truck driving at Route 6 towards North. ISF arrested a suspect,Assault
BREAKING: Sudan's Prime Minister insists situation is 'under control' in Khartoum. Gunfire is still reportedly ongoing in the capital.,Assault
Virginia Democrats Fire First Shots Against Gun Owners,Assault
"DOUBLE SHOOTING: Gunfire erupted in Long Beach late last night, leading police to an alleged illegal gambling operation. 2 people shot are in stable condition.",Assault
"I’m in Khartoum today, where there has been gunfire in the areas of Riyadh, Kafouri, and Bahri, arterial roads near the airport have been closed, and has been a very unpredictable situation. #sudan",Assault
just a nigga with a badge - Cops: Georgia fire chief arrested after pointing gun during trespassing incident,Assault
Texas nurse killed by celebratory gunfire minutes after new year,Assault
FOX8NOLA: Superdome security officials exchange gunfire with suspects,Assault
Hong Kong police fire gun and use water cannon on protesters Read full article here,Assault
Live gunfire and smoke bombs by militia on peaceful demonstrators in Iraq ........ Why this silence is the United Nations and human rights organizations See O world Iraqi youth being slaughtered with party knife ....,Assault
"#Breaking : Two police officers killed by gunfire , other people stabbed after armed man goes on rampage in #Honolulu , Hawaii. At least four homes set on fire . Scene very active:",Assault
