
[Clipping] NormalVideos reduced from 947768 → 80000
[Clipping] Total TRAIN samples after clipping: 398577

Train class distribution (after clipping):
  [00] Abuse          : 19076
  [01] Arrest         : 26397
  [02] Arson          : 24421
  [03] Assault        : 10360
  [04] Burglary       : 39504
  [05] Explosion      : 18753
  [06] Fighting       : 24684
  [07] NormalVideos   : 80000
  [08] RoadAccidents  : 23486
  [09] Robbery        : 41493
  [10] Shooting       : 7140
  [11] Shoplifting    : 24835
  [12] Stealing       : 44802
  [13] Vandalism      : 13626
  Total: 398577

Train samples (raw): 1266345 | Test samples: 111308
Client sizes (IID, clipped pool): [79716, 79716, 79715, 79715, 79715]
Freeze backbone: False
[Round 01/100] TrainLoss=1.7675 | Macro-F1=0.1157 | Micro-F1=0.4918 | Macro-AUC=0.7350 | Micro-AUC=0.8498 | W-AUC=0.8004
[Round 02/100] TrainLoss=0.9880 | Macro-F1=0.1423 | Micro-F1=0.4828 | Macro-AUC=0.7368 | Micro-AUC=0.8568 | W-AUC=0.8109
[Round 03/100] TrainLoss=0.6345 | Macro-F1=0.1463 | Micro-F1=0.4660 | Macro-AUC=0.7341 | Micro-AUC=0.8539 | W-AUC=0.8060
[Round 04/100] TrainLoss=0.4335 | Macro-F1=0.1526 | Micro-F1=0.4682 | Macro-AUC=0.7371 | Micro-AUC=0.8586 | W-AUC=0.8061
[Round 05/100] TrainLoss=0.3120 | Macro-F1=0.1590 | Micro-F1=0.4733 | Macro-AUC=0.7343 | Micro-AUC=0.8596 | W-AUC=0.7997
[Round 06/100] TrainLoss=0.2345 | Macro-F1=0.1596 | Micro-F1=0.4756 | Macro-AUC=0.7335 | Micro-AUC=0.8607 | W-AUC=0.7952
[Round 07/100] TrainLoss=0.1811 | Macro-F1=0.1562 | Micro-F1=0.4810 | Macro-AUC=0.7295 | Micro-AUC=0.8614 | W-AUC=0.7939
[Round 08/100] TrainLoss=0.1448 | Macro-F1=0.1569 | Micro-F1=0.4891 | Macro-AUC=0.7271 | Micro-AUC=0.8616 | W-AUC=0.7911
[Round 09/100] TrainLoss=0.1193 | Macro-F1=0.1585 | Micro-F1=0.4878 | Macro-AUC=0.7245 | Micro-AUC=0.8609 | W-AUC=0.7911
[Round 10/100] TrainLoss=0.1002 | Macro-F1=0.1591 | Micro-F1=0.4888 | Macro-AUC=0.7231 | Micro-AUC=0.8582 | W-AUC=0.7876
[Round 11/100] TrainLoss=0.0856 | Macro-F1=0.1565 | Micro-F1=0.4953 | Macro-AUC=0.7198 | Micro-AUC=0.8597 | W-AUC=0.7848
[Round 12/100] TrainLoss=0.0746 | Macro-F1=0.1568 | Micro-F1=0.5003 | Macro-AUC=0.7199 | Micro-AUC=0.8609 | W-AUC=0.7860
[Round 13/100] TrainLoss=0.0652 | Macro-F1=0.1597 | Micro-F1=0.4993 | Macro-AUC=0.7183 | Micro-AUC=0.8587 | W-AUC=0.7828
[Round 14/100] TrainLoss=0.0583 | Macro-F1=0.1578 | Micro-F1=0.4956 | Macro-AUC=0.7140 | Micro-AUC=0.8557 | W-AUC=0.7811
[Round 15/100] TrainLoss=0.0522 | Macro-F1=0.1597 | Micro-F1=0.5006 | Macro-AUC=0.7201 | Micro-AUC=0.8590 | W-AUC=0.7861
[Round 16/100] TrainLoss=0.0470 | Macro-F1=0.1577 | Micro-F1=0.5064 | Macro-AUC=0.7184 | Micro-AUC=0.8601 | W-AUC=0.7869
[Round 17/100] TrainLoss=0.0428 | Macro-F1=0.1579 | Micro-F1=0.4987 | Macro-AUC=0.7137 | Micro-AUC=0.8571 | W-AUC=0.7818
[Round 18/100] TrainLoss=0.0393 | Macro-F1=0.1575 | Micro-F1=0.5017 | Macro-AUC=0.7161 | Micro-AUC=0.8581 | W-AUC=0.7850
[Round 19/100] TrainLoss=0.0362 | Macro-F1=0.1563 | Micro-F1=0.4982 | Macro-AUC=0.7130 | Micro-AUC=0.8567 | W-AUC=0.7808
